日期,渠道,注册用户数,充值用户数,充值金额,新用户充值用户数,新用户充值金额,老用户充值数,老用户充值金额,本渠道老用户充值数,本渠道老用户充值金额,其他渠道老用户充值数,其他渠道老用户充值金额
2021-11-25,顺网,107,153,470.79,44,124.29,109,346.5,91,298.07,18,48.43
2021-11-24,顺网,101,161,435.61,36,81.84,125,353.77,105,301.05,20,52.72
2021-11-23,顺网,120,164,494.97,49,130.92,115,364.05,97,310.62,18,53.43
2021-11-22,顺网,113,161,486.62,35,96.67,126,389.95,109,343.6,17,46.35
2021-11-21,顺网,164,210,614.31,56,141.17,154,473.14,129,391.51,25,81.63
2021-11-20,顺网,200,250,687.35,68,159.78,182,527.57,149,436.67,33,90.9
2021-11-19,顺网,143,151,426.34,47,110.39,104,315.95,90,276.17,14,39.78
2021-11-18,顺网,153,166,476.08,51,122.95,115,353.13,94,296.54,21,56.59
2021-11-17,顺网,106,163,441.58,40,98.79,123,342.79,106,297.75,17,45.04
2021-11-16,顺网,135,172,493.18,53,123.0,119,370.18,106,330.59,13,39.59
2021-11-15,顺网,123,166,444.45,50,104.55,116,339.9,101,289.47,15,50.43
2021-11-14,顺网,177,181,508.53,61,151.37,120,357.16,101,305.95,19,51.21
2021-11-13,顺网,201,199,575.14,66,141.98,133,433.16,116,373.45,17,59.71
2021-11-12,顺网,183,178,505.14,66,170.55,112,334.59,99,290.62,13,43.97
2021-11-11,顺网,135,144,412.81,55,129.48,89,283.33,80,242.59,9,40.74
2021-11-10,顺网,136,142,372.59,50,111.23,92,261.36,78,220.34,14,41.02
2021-11-09,顺网,135,159,456.61,59,138.25,100,318.36,80,245.93,20,72.43
2021-11-08,顺网,166,155,398.79,54,122.83,101,275.96,89,246.97,12,28.99
2021-11-07,顺网,230,235,609.45,99,210.65,136,398.8,114,337.21,22,61.59
2021-11-06,顺网,309,261,630.67,113,218.62,148,412.05,123,346.38,25,65.67
2021-11-05,顺网,304,259,599.67,123,226.34,136,373.33,110,306.65,26,66.68
2021-11-04,顺网,380,334,646.55,191,307.92,143,338.63,119,283.42,24,55.21
2021-11-03,顺网,287,268,545.62,149,261.38,119,284.24,85,214.22,34,70.02
2021-11-02,顺网,93,129,362.15,25,63.36,104,298.79,88,254.16,16,44.63
2021-11-01,顺网,123,146,370.91,42,92.38,104,278.53,89,236.29,15,42.24
2021-10-31,顺网,183,232,668.12,79,190.05,153,478.07,133,413.81,20,64.26
2021-10-30,顺网,220,210,568.83,64,164.22,146,404.61,125,345.13,21,59.48
2021-10-29,顺网,146,186,531.41,50,130.05,136,401.36,119,346.96,17,54.4
2021-10-28,顺网,143,163,438.56,47,106.65,116,331.91,100,289.96,16,41.95
2021-10-27,顺网,98,138,427.78,32,68.61,106,359.17,91,318.03,15,41.14
2021-10-26,顺网,127,137,387.18,44,102.23,93,284.95,90,276.38,3,8.57
2021-10-25,顺网,127,136,409.68,40,117.08,96,292.6,85,256.24,11,36.36
2021-10-24,顺网,188,171,475.53,53,120.6,118,354.93,100,301.62,18,53.31
2021-10-23,顺网,233,224,596.72,84,186.41,140,410.31,115,344.36,25,65.95
2021-10-22,顺网,194,174,460.11,69,158.65,105,301.46,95,283.53,10,17.93
2021-10-21,顺网,167,150,353.91,47,96.47,103,257.44,85,215.59,18,41.85
2021-10-20,顺网,137,139,378.12,44,98.6,95,279.52,77,228.98,18,50.54
2021-10-19,顺网,139,139,363.48,55,127.84,84,235.64,65,187.55,19,48.09
2021-10-18,顺网,124,112,332.47,34,86.46,78,246.01,71,218.61,7,27.4
2021-10-17,顺网,207,155,427.41,57,143.05,98,284.36,79,232.85,19,51.51
2021-10-16,顺网,222,174,463.95,49,117.41,125,346.54,107,306.81,18,39.73
2021-10-15,顺网,149,157,439.48,60,153.19,97,286.29,84,254.52,13,31.77
2021-10-14,顺网,126,100,285.71,27,64.14,73,221.57,64,195.58,9,25.99
2021-10-13,顺网,109,108,289.21,35,67.87,73,221.34,60,187.67,13,33.67
2021-10-12,顺网,100,104,300.92,27,70.77,77,230.15,60,177.84,17,52.31
2021-10-11,顺网,129,136,396.52,54,156.98,82,239.54,69,205.87,13,33.67
2021-10-10,顺网,217,207,575.91,66,158.25,141,417.66,121,348.92,20,68.74
2021-10-09,顺网,171,168,453.74,53,120.36,115,333.38,91,263.42,24,69.96
2021-10-08,顺网,249,176,458.38,64,153.4,112,304.98,95,261.83,17,43.15
2021-10-07,顺网,277,137,345.35,51,116.58,86,228.77,67,188.02,19,40.75
2021-10-06,顺网,289,152,411.1,53,112.0,99,299.1,82,250.5,17,48.6
2021-10-05,顺网,333,145,366.64,54,109.09,91,257.55,72,212.41,19,45.14
2021-10-04,顺网,316,144,391.58,40,97.49,104,294.09,88,247.77,16,46.32
2021-10-03,顺网,382,163,420.72,61,141.35,102,279.37,87,239.22,15,40.15
2021-10-02,顺网,416,189,505.07,80,205.61,109,299.46,92,257.9,17,41.56
2021-10-01,顺网,408,205,541.51,76,168.88,129,372.63,100,290.99,29,81.64
2021-09-30,顺网,239,203,523.56,81,174.24,122,349.32,97,280.78,25,68.54
2021-09-29,顺网,156,134,354.55,57,136.43,77,218.12,67,189.03,10,29.09
2021-09-28,顺网,122,116,279.91,41,84.67,75,195.24,61,166.05,14,29.19
2021-09-27,顺网,112,108,282.53,39,90.24,69,192.29,62,176.56,7,15.73
